,loc,country
0,españa,españa
1,torrejón de ardoz,españa
2,"gamonal,castilla",españa
3,mazatlán sinaloa,méxico
4,"zumpango, méxico",méxico
5,ecuador,ecuador
6,"santo andré, brasil",brasil
7,merida,españa
8,"üt: 11.094894,-63.857494",-
9,rivermint,australia
10,jerez de la frontera,españa
11,in the moon ,united states
12,"firenze, toscana",italia
13,"aguascalientes, méxico",méxico
14,"corregidora, querétaro arteaga",méxico
15,villa centenario,argentina
16,"moreno valley, ca",united states
17,euskadi,españa
18,república dominicana,república dominicana
19,yslas canarias. las españas ,-
20,peru,perú
21,"azoyú, guerrero",méxico
22,colombia,colombia
23,"sabinas hidalgo, nuevo león",méxico
24,a coruña,españa
25,"embalse, córdoba",argentina
26,"panama, ciudad de panama!",panamá
27,"buenos aires, argentina",argentina
28,"mendoza, argentina",argentina
29,wonderland,philippines
30,tailandia,ประเทศไทย
31,ribadeo,españa
32,"montevideo, uruguay",uruguay
33,l'hospitalet de llobregat,españa
34,alemania,deutschland
35,"valencia, españa",españa
36,"ciudad de nuevo taipei, taiwán",-
37,venezuela,venezuela
38,"guanajuato, méxico",méxico
39,bogota-colombia,colombia
40,entre terrassa y sabadell y viceversa,-
41,méxico ,méxico
42,"barcelona , spain",españa
43,"caracas, venezuela",venezuela
44,"murcia, españa",españa
45,calle única #25 cpno edo-sucre,-
46,panama,panamá
47,ciudad de méxico ,méxico
48,"alicante, españa",españa
49,rafaela - santa fe,argentina
50,"junín, buenos aires, argentina",argentina
51,"palma, es",españa
52,santiago chile,chile
53,"lomas de zamora, argentina",argentina
54,"soriano calabro, calabria",italia
55,el mundo,españa
56,"pereira, colombia",colombia
57,maó( minorca island),-
58,puerto montt,chile
59,a la izquierda,españa
60,maracaibo-cabimas,-
61,"distrito federal, méxico",méxico
62,"bogotá, d.c., colombia",colombia
63,"chubut, argentina",argentina
64,he/him 📌,ປະເທດລາວ
65,pamplona / mendillorri,españa
66,"guasdualito, venezuela",venezuela
67,el internet ,perú
68,reino de españa,españa
69,💻,-
70,ubicado: a veces,-
71,en google play & galaxy apps,-
72,"zaragoza, españa",españa
73,"méxico,  d.f",méxico
74,madrid,españa
75,"la plata, argentina",argentina
76,"veracruz, veracruz de ignacio ",méxico
77,mex,méxico
78,"santiago, chile",chile
79,bolivia,bolivia
80,"méxico, df",méxico
81,japón,日本
82,wuhan ,中国
83,lleida,españa
84,"quininde, ecuador",ecuador
85,"asuncion, paraguay",paraguay
86,pamplona,españa
87,"entre ríos, argentina",argentina
88,"durazno, uruguay",uruguay
89,"tariba tachira, venezuela",venezuela
90,caba,argentina
91,mexico,méxico
92,"formosa, argentina",argentina
93,"portales sur, benito juárez",méxico
94,iupi/mi casa,-
95,"trujillo, peru",perú
96,"ocotlán, oaxaca, méxico",méxico
97,"tabasco, méxico",méxico
98,colombia cartagena,colombia
99,san javier .___. viedma,argentina
100,latinoamérica unida,panamá
101,hell is warmer than heaven,-
102,the dog pound / la perrera.,-
103,"sevilla, españa",españa
104,venezuela ,venezuela
105,arequipa,perú
106,"temuco, chile",chile
107,"galicia, españa",españa
108,"querétaro, querétaro arteaga",méxico
109,"tulsa, ok",united states
110,"maracaibo, zulia",venezuela
111,valencia ontinyent,españa
112,"panamá, antón",panamá
113,"madrid, españa",españa
114,ciudad autónoma de buenos aire,argentina
115,caracas venezuela,venezuela
116,"teruel, españa",españa
117,stockholm sweden,sverige
118,"jaén, españa",españa
119,"neuquén, argentina",argentina
120,ciudad de méxico,méxico
121,"cuernavaca, morelos",méxico
122,"pehuajó, argentina",argentina
123,trujillo,españa
124,valencia,españa
125,físicamente en chile. spiritualmente in italia. mentally in the world/planet earth. dans le seul univers et dimensions que nous connaissons.,-
126,"rancagua, chile",chile
127,"magallanes, magallanes y la antártica chilena",chile
128,"santa cruz de tenerife, españa",españa
129,"salta, argentina",argentina
130,"tucumán, argentina",argentina
131,tijuana,méxico
132,bocas del toro,panamá
133,puerto plata,república dominicana
134,zaragoza,españa
135,"caña de azúcar, venezuela",-
136,"20.742972,-103.430708",méxico
137,"méxico, d. f. ",méxico
138,valladolid-salamanca,españa
139,en el cerebro de la bestia.,-
140,en almería,españa
141,comodoro rivadavia,argentina
142,catalunya,españa
143,caracas - distrito capital,colombia
144,madrid-españa,españa
145,managua-nicaragua,nicaragua
146,"houston, texas",united states
147,república dominicana.,república dominicana
148,"coyoacán, cdmx",méxico
149,puebla mexico,méxico
150,"quito, ecuador",ecuador
151, buenos aires argentina,italia
152,"siguatepeque, honduras",honduras
153,"santa cruz, bolivia",bolivia
154,cojedes - venezuela,venezuela
155,rio gallegos/bahia blanca,-
156,argentina ,argentina
157,groenlandia,kalaallit nunaat
158,manta-ecuador,ecuador
159,"puebla, méxico",méxico
160,santiago de chile.-,chile
161,"principado de asturias, españa",españa
