,loc,country
0,"paris, france",france
1,"vallauris, france",france
2,"ile-de-france, france",france
3,"france, paris",france
4,grand est,france
5,paris,france
6,namek,ປະເທດລາວ
7,"le plan-de-la-tour, france",france
8,mont argenté,france
9,"laval, france",france
10,"london, most of the time",-
11,blois,france
12,virage auteuil,-
13,"nancy, france",france
14,france - italie,france
15,need sugar daddy ,-
16,"pays de la loire, france",france
17,"québec, canada",canada
18,"reims, france",france
19,19y| she/her,-
20,paris-rouen-la nartelle,-
21,"haute-vienne, limousin",france
22,"lisboa, portugal",portugal
23,ᴋᴏɴᴏʜᴀ,日本
24,"québec,pq",brasil
25,"mohammedia, royaume du maroc",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
26,"london, england",united kingdom
27,"aquitaine, france",france
28,bagnols-sur-cèze,france
29,tombouktou,-
30,"yvelines, ile-de-france",france
31,"metz, france",france
32,"montcuq, france",france
33,česká republika,česko
34,"dollard-des-ormeaux, québec",canada
35,b'a !!,angola
36,dans ton cul,-
37,israel,ישראל
38,welcome in the world,-
39,dans le coin ,france
40,"nice, france",france
41,"ouessant, france",france
42,le gondor,-
43,en tous lieux,-
44,pluton,france
45,"languedoc-roussillon, france ",france
46,"vieux-condé, france",france
47,catral / carrières sur seine ,-
48,"frankfurt am main, deutschland",deutschland
49,"strasbourg, france",france
50,"marseille, france",france
51,"france, bretagne",france
52,"bretagne sud, morbihan🌊🏄🏼",france
53,"#genève, #suisse",schweiz/suisse/svizzera/svizra
54,"languedoc-roussillon, france",france
55,"toulouse, france",france
56,"california, usa",united states
57,district de trost ,éire / ireland
58,le sud,france
59,murrayland.,-
60,"ille-et-vilaine, bretagne",france
61,bahr el-ghazal,tchad تشاد
62,"colombes, france",france
63,frankfurt am main,deutschland
64,"benidorm, espagne",españa
65,au québec,canada
66,martinique,france
67,"lille, france",france
68,"midi-pyrénées, france",france
69,"sénas, france",france
70,"bobigny, france",france
71,"montréal, québec",canada
72,belgique,belgië / belgique / belgien
73,"bruges, belgium",belgië / belgique / belgien
74,ile-de-france + france,france
75,strasbourg,france
76,"blois, france",france
77,"drôme, france",france
78,q ébec,-
79,"nantes, france",france
80,planet earth,ประเทศไทย
81,tours,france
82,lanaudière,canada
83,"le monde, dont nous sommes toutes et tous les citoyens. chevalier des palmes académiques",-
84,"aix-en-provence, france",france
85,corse,france
86,"haute-normandie, france",france
87,"cherbourg-en-cotentin, france",france
88,somewhere breathing .,-
89,france - 74,france
90,saint-denis de la réunion,france
91,cote d'ivoire,côte d’ivoire
92,arich,deutschland
93,"torcy, france",france
94,"orsay, france",france
95,nancy,france
96,dm for credit / removal,-
97,petaouchnok,france
98,終ノ空69,-
99,"paris, tel-aviv, los-angeles",-
100,sur la lune,france
101,inside & outside.,australia
102,stras,slovensko
103,limoges,france
104,kingg - @luisnani❤️ - ol & vcf,-
105,"sainte-geneviève-des-bois, france",france
106,evropa,ōu
107,🌏🐓🇫🇷  🦅 🇺🇲🦁,-
108,région parisienne,ελλάς
109,"îlot de résistance, maquis",-
110,rennes,france
111,she/her ,polska
112,"athis-mons, france",france
113,mtl · qc · utopia✴dystopia,-
114,"gard, languedoc-roussillon",france
115,tini tini tini 🤍,mali
116,"nowhere, anyland",-
117,france 🇫🇷 nimes nice ,france
118,"haut-rhin, alsace",france
119,toulon,france
120,paris 75017,france
121,"washington, dc",united states
122,luxeuil les bains,france
123,"hull, québec, canada",canada
124,"carpentras, france",france
125,côte d'ivoire,côte d’ivoire
126,paris 13,france
127,loin,france
128,🇨🇵,-
129,soviet,south africa
130,"seine-saint-denis, ile-de-fran",-
131,"izeure, france",france
132,lyon,france
133,ankh-morpork,-
134,in the rough 😏,united kingdom
135,kukuru mountain,-
136,"rouen, france",france
137,chisinau,moldova
138,"saint-cyr-sur-mer, france",france
139,mâcon - france,france
140,fauteuil à chat,-
141,idf,deutschland
142,il/lui (cis blanc),-
143,dominican republic,república dominicana
144,reims - 51100  - france,france
145,labica virginiawoolf aragon,-
146,"auvergne, france",france
147,viseu portugal,portugal
148,"vosges, lorraine",france
149,perfect world,österreich
150,കേരളം,india
151,palestine,palestinian territory
152,"france, moselle, metz (57)  ",france
153,haute-saône,france
154, france ,france
155, paris,france
156,"rennes, france",france
157,alpes-maritimes,france
158,"saint-herblain, france",france
159,ǝʌɐ uooɯʎǝuoɥ ,-
160,cambodia,ព្រះរាជាណាចក្រ​កម្ពុជា
161,"lyon, france",france
162,"cagnes-sur-mer, france",france
163,bretagne ,france
164,"angers, france",france
165,il/iel/elle,-
166,sur terre,belgië / belgique / belgien
167,reims champagne,france
168,nice,france
169,"nanterre, france ",france
170,paris - france,france
171,tatoo ine parlor!,-
172,bretagne,france
173,#mbamci paris  #eisti,-
174,terre-2,united states
175,"grenoble, rhône-alpes",france
176,belgium,belgië / belgique / belgien
177,france allez l'om,-
178,dax & montauban // he/she,-
179,nord,france
180,"deland, fl",united states
181,pom pom galli,-
182,nimes - france,france
183,"vendôme, france",france
184,"le luc, france",france
185,paris 11ème,france
186,tchimi allanais francais  ,-
187,photo d'une jeune buse,-
188,libreville & nantes,-
189,quelque part entre ciel/terre,-
190,biarritz,france
191,alpes maritimes,france
192,marrakech,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
193,champagne :france,france
194,"toulon, france",france
195,konoha,日本
196,"pasadena, ca",united states
197,available,ישראל
198,rhone alpes,france
199,indonesia,indonesia
200,nostalgia,united states
201,"montpellier, france",france
202,centre-val de loire ,france
203,𝖒𝖎𝖘𝖆 𝖍𝖔𝖒𝖊,-
204,guyane française,france
205,bruxelles,belgië / belgique / belgien
206,est france ,france
207,en quête de la vérité de dieu,-
208,lorient - berlin,-
209,marseille ,france
210,québec,canada
211,"nord-pas-de-calais, france",france
212,"vendée, pays de la loire",france
213,"nizza, francia",france
214,"loire, rhône-alpes",france
215,"clermont-ferrand, france",france
216,"bordeaux, france",france
217,bordeaux,france
218,paradis,belgië / belgique / belgien
219,hautes-alpes,france
220,au temple ,france
221,"saint-cloud, france",france
222,chantilly,france
223,paris 17ème,france
224,ripoublique du macronistan,-
225,~ 375 000 km,россия
226,suisse,schweiz/suisse/svizzera/svizra
227,"val-d'oise, ile-de-france",france
228,"ixelles, belgique",belgië / belgique / belgien
229,france occupée,france
230,"cancale, france",france
231,"texas, usa",united states
232,μασσαλία,france
233,follow wsh,-
234,"new delhi, india",india
235,#reinerpropaganda ,-
236,paris 17e,france
237,quelque part dans le 74,-
238,la vie,france
239,"orange, france",france
240,"saône-et-loire, bourgogne",france
241,🇬🇭/🇫🇷/🇬🇧,-
242,marseille,france
243,somewhere on earth,-
244,she/her,polska
245,"brest, france",france
246,frontières 🇨🇭,schweiz/suisse/svizzera/svizra
247,never give up on your dreams ,-
248,"paris, le crotoy, stremy",-
249,paris - casablanca,france
250,^o^,france
251,var,france
252,somewhere💚💛❤️,中国
253,dingoslaville en normandie,-
254,"waltham, ma. and  st-gab, qc",-
255,guinée,guinée
256,lilou,中国
257,auvergne,france
258,"chanteloup-en-brie, france",france
259,ailleurs,france
260,"caen, france",france
261,auriol,france
262,comfortable devant l'écran,-
263,somewhere. #jlm2022,-
264,bas rhin,france
265,"tarascon-sur-ariège, france",france
266,toulouse,france
267,"savoie, rhône-alpes",france
268,"beloeil, québec",canada
269,"orléans, france",france
270,"chiclana de la frontera, espag",-
271,he/him,ປະເທດລາວ
272,villetaneuse ,france
273,"dolus-d'oléron, france",france
274,"terre, systèmesolaire, univers",-
275,marseille porto-vecchio france,-
276,"morbihan, bretagne",france
277,rimouski    qc   canada,canada
278,denmark,danmark
279,desert de gobi,монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ
280,reims - carteret,france
281,a gauche,россия
282,el harrach,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
283,françe,france
284,nowhere,united states
285,shambhala,españa
286,ajaccio / piedicorte ,-
287,antananarivo,madagasikara / madagascar
288,greendale to planète vegeta,-
289,"sherbrooke, québec",canada
290,"angers, paris",france
291,"séville, espagne",españa
292,"orne, basse-normandie",france
293,"provence-alpes-côte d'azur, fr",france
294,"bas-rhin, alsace",france
295,93 ; setif ; ⵣ,-
296,"gonesse, france",france
297,out of sight,united states
298,"brebières, nord-pas-de-calais",france
299,مَشَد,ایران
300,75,france
301,"hautes-pyrénées, midi-pyrénées",france
302,caen,france
303,seulrene · she//her,-
304,"var, provence-alpes-côte d'azur",france
305,north blue,deutschland
306,gard,france
307,"maubeuge, france",france
308,paris - marseille,france
309,"plomodiern, france",france
310,earth,united states
311,gironde,france
312,"france, dijon",france
313,naruto's bed,-
314,"six-fours-les-plages, france",france
315,"dunkerque, france",france
316,europe,ōu
317,ici et là,france
318,royaume des chats,-
319,ⵣ,canada
320,"genève, suisse",schweiz/suisse/svizzera/svizra
321,"lorraine, france",france
322,la fatalité,-
323,east blue,united states
324,"roma, lazio",italia
325,50/50 nord/region parisienne,-
326,en france,france
327,i,österreich
328,"bruxelles, belgique",belgië / belgique / belgien
329,france ,france
330,nord ,france
331,"bretagne, france",france
332,west coast 😛,new zealand / aotearoa
333,"sceaux, france ",france
334,rdc,république démocratique du congo
335,guinea,guinée
336,entre le soleil et la lune,-
337,paris lille,france
338,"franche-comté, france",france
339,"christchurch city, new zealand",new zealand / aotearoa
340,vichy,france
341,la pachamama,españa
342,"dordogne, aquitaine",france
343,"namur, belgique",belgië / belgique / belgien
344,puy-de-dôme (63),france
345,🇫🇷 france 🇫🇷,france
346,"liège, belgique",belgië / belgique / belgien
347,hongrie,magyarország
348,"besançon, france",france
349,haut de france,france
350,"seine-saint-denis, france",france
351,côte basque,france
352,barcelona / spain,españa
353,"béthune, france",france
354,"h¥p•¢r¡t€$ w©rld,kil| p®w€r--}",-
355,occitanie,france
356,"indre-et-loire, centre",france
357,paris 12ème,france
358,"ile-de-france, france helas",france
359,plutôt ailleurs ,-
360,clisson,france
361,"garches, france",france
362,"la france n'est plus un état de droit,la république est abolie,la démocratie est en fuite. soumission commission européenne et juges rouges . gopé",-
363,konoha ,日本
364,dammarie les lys ,france
365,etats-unis,république démocratique du congo
366,str 高田馬場,日本
367,🌍,-
368,senonches,france
369,"essonne, ile-de-france",france
370,entre avignon et les saintes,-
371,camp nou,perú
372,"pau, france",france
373,au mordor,australia
374,"là, où je suis",-
375,drummondville,canada
376,"châteaugay, france",france
377,rome,italia
378,uruguay 🇺🇾🇫🇷🇪🇸,uruguay
379,"paris, ile-de-france",france
380,"ottawa, on. canada",canada
381,"new york, ny",united states
382,"bastia, france",france
383,n'djamena,tchad تشاد
384,"pas-de-calais, nord-pas-de-calais",france
385,"grenoble, france",france
386,"savigny, vaud",schweiz/suisse/svizzera/svizra
387,nord - pas-de-calais,france
388,"pontoise, france",france
389,tizi/92,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
390,bahamas,the bahamas
391,"mulhouse, france",france
392,loading...,united kingdom
393,picardy normandy,united states
394,"ardèche, rhône-alpes",france
395,🏳️‍🌈,-
396,planète solar iii,-
397,"silver lakes, ca",united states
398,"sud-est, con ! ",brasil
399, france,france
400,"saint-jean-de-braye, france",france
401,rouen,france
402,"abbeville, france",france
403,japon,日本
404,région paca ,slovensko
405,"london, paris, luxembourg, europe",-
406,. ,-
407,avenida siempre viva 742,méxico
408,"issy-les-moulineaux, ile-de-france",france
409,"ecouen, france",france
410,cherbourg,france
411,"47.21636,5.962071",france
412,norvège- islande,ísland
413,ivory coast,côte d’ivoire
414,dans le bescherelle,-
415,"ardennes, champagne-ardenne",france
416,ottawa-gatineau,canada
417,macao,中国
418,la cdmx,méxico
419,"caudry , nord",france
420,bloqué dans dust2,-
421,"birmingham, england",united kingdom
422,even,danmark
423,boston - grenoble - nice,-
424,villeurbanne,france
425,ny,united states
426,montbéliard,france
427,hazebrouck,france
428,au nord,france
429,"aube, champagne-ardenne",france
430,"gatineau, québec ",canada
